umap_x,umap_y,domain,level
1.0203999,5.89741,amazon,easy
1.6712356,6.129417,amazon,easy
1.5064563,6.136245,amazon,easy
1.4580134,5.637587,amazon,easy
1.4838718,5.4723783,amazon,easy
1.6051943,5.647957,amazon,easy
1.3701743,5.880547,amazon,easy
1.4779398,5.5824556,amazon,easy
1.6067911,5.6659975,amazon,easy
1.4936154,5.7017846,amazon,easy
1.5029248,5.738645,amazon,easy
1.4125289,6.3145113,amazon,easy
1.4678576,6.414593,amazon,easy
1.0708373,6.5790377,amazon,easy
1.2358205,5.8559813,amazon,easy
9.148591,9.312981,amazon,easy
7.4726806,9.345873,amazon,easy
1.393462,6.459995,amazon,easy
1.6099503,5.40359,amazon,easy
1.4700027,6.399876,amazon,easy
-0.044866223,5.4833207,amazon,easy
-0.062409323,5.436244,amazon,easy
-0.03419529,5.4852877,amazon,easy
-0.019750422,5.51588,amazon,easy
-0.10664545,5.3978763,amazon,easy
-0.07458616,5.4362636,amazon,easy
0.008783244,5.415358,amazon,easy
-4.340899,8.722189,amazon,easy
-0.06459052,5.4580417,amazon,easy
-0.013467921,5.510529,amazon,easy
0.74725,6.5444245,amazon,easy
0.706966,6.4465494,amazon,easy
0.6243395,6.4261866,amazon,easy
0.76072425,6.521475,amazon,easy
0.6397058,6.525342,amazon,easy
0.6493834,6.5613394,amazon,easy
0.69822913,6.5701647,amazon,easy
0.64039207,6.597384,amazon,easy
0.97987944,6.3750696,amazon,easy
0.6463903,6.5740266,amazon,easy
0.2911248,6.154004,amazon,easy
0.49043083,6.292061,amazon,easy
0.40118313,6.137531,amazon,easy
0.09485021,6.079489,amazon,easy
0.25530532,6.3683257,amazon,easy
0.48220214,6.408972,amazon,easy
0.299043,6.3873377,amazon,easy
0.20247893,6.2714324,amazon,easy
0.19746107,6.3414135,amazon,easy
0.17775872,6.244074,amazon,easy
0.3666276,6.4819913,amazon,easy
0.2341141,6.483332,amazon,easy
0.5053165,6.456475,amazon,easy
0.21412852,6.4608574,amazon,easy
0.26655558,6.4620004,amazon,easy
0.2951947,6.525837,amazon,easy
0.25794333,6.4897428,amazon,easy
0.42132345,6.4972806,amazon,easy
0.42401922,6.4944983,amazon,easy
0.29259354,6.4019527,amazon,easy
