rank,pagerank_keyword,pagerank_value,betweenness_keyword,betweenness_value
1,paper,0.013559227187537742,paper,0.06412736547060034
2,title,0.007349895580532866,papers,0.033621394858368604
3,opinion,0.006797148887417712,number,0.026809865081732522
4,court,0.006341032039652127,author,0.02355848486805681
5,papers,0.006090328450808447,case,0.018645344125465788
6,author,0.006039550390430556,based,0.017677460764818787
7,number,0.0058264666176442645,new,0.017629539486675398
8,reader,0.004866012479014015,title,0.01732582236497492
9,case,0.004354506296785809,following,0.014287806794531066
10,cluster,0.003902638931000885,recommended,0.012489916071813002
11,study,0.003869913158754184,court,0.012078959303935691
12,effect,0.0036702099986386685,disease,0.01188053008826137
13,based,0.0035994779473973067,opinion,0.0115248210312576
14,recommended,0.003351329181990587,effect,0.011162567865432368
15,using,0.0033361182557959945,published,0.01038254012291995
