source,model,domain,difficulty,count,em,bleu,rouge1,rouge2,rougeL,rougeLsum,gpt4_score
rougeEM,curriculum_rl-grpo-150steps,amazon,e,80,0.75,0.3280469712937551,0.7910714285714285,0.2125,0.7946428571428571,0.7910714285714285,
rougeEM,curriculum_rl-grpo-150steps,amazon,h,40,0.05,0.0019180110738846255,0.11762296989911893,0.03102411704941306,0.10400578981348023,0.10451505942256736,
rougeEM,curriculum_rl-grpo-150steps,amazon,m,39,0.3076923076923077,0.22387822767489254,0.45461344211344207,0.33535894305125075,0.4643194768194767,0.45595700595700595,
rougeEM,curriculum_rl-grpo-150steps,amazon,ood,40,0.0,0.0,0.04271282475694241,0.009250474383301708,0.038497129776541544,0.03954614231084819,
rougeEM,curriculum_rl-grpo-150steps,amazon,overall,200,0.37,0.04330283409774414,0.4395934974317379,0.15977515830740774,0.4353056520779807,0.4342532013094109,
rougeEM,curriculum_rl-grpo-150steps,biomedical,e,100,0.56,0.6715086632786657,0.6488764957264956,0.4061478105228105,0.6419487012987012,0.643617871017871,
rougeEM,curriculum_rl-grpo-150steps,biomedical,h,20,0.05,0.0,0.05,0.0,0.05,0.05,
rougeEM,curriculum_rl-grpo-150steps,biomedical,m,150,0.05333333333333334,0.0,0.09225885225885225,0.03,0.09225030525030524,0.09231135531135531,
rougeEM,curriculum_rl-grpo-150steps,biomedical,ood,0,,,,,,,
rougeEM,curriculum_rl-grpo-150steps,biomedical,overall,270,0.24074074074074073,0.2182196924245766,0.29345291539735985,0.16570070019144092,0.29279541446208107,0.29380337769226655,
rougeEM,curriculum_rl-grpo-150steps,goodreads,e,129,0.5968992248062015,0.13205407329680355,0.6406115122688287,0.177063758007733,0.6403870956282178,0.6423353675123139,
rougeEM,curriculum_rl-grpo-150steps,goodreads,h,70,0.014285714285714285,0.0,0.051540259049907985,0.0010084033613445378,0.050461644788994786,0.051446934356576615,
rougeEM,curriculum_rl-grpo-150steps,goodreads,m,30,0.43333333333333335,0.1418206692453918,0.4722222222222222,0.07777777777777778,0.4722222222222222,0.4722222222222222,
rougeEM,curriculum_rl-grpo-150steps,goodreads,ood,6,0.0,0.0,0.03174603174603175,0.0,0.015873015873015876,0.015873015873015876,
rougeEM,curriculum_rl-grpo-150steps,goodreads,overall,240,0.38333333333333336,0.05998154547484236,0.42502503374789397,0.10486734103555648,0.4234328742857316,0.42394891995612827,
rougeEM,curriculum_rl-grpo-150steps,legal,e,94,0.425531914893617,0.5170048960126302,0.5135829701641301,0.3486198964922369,0.5115370316597153,0.5089114493090986,
rougeEM,curriculum_rl-grpo-150steps,legal,h,30,0.0,0.0,0.02469725396554665,0.0,0.024697253965546652,0.02465682465682466,
rougeEM,curriculum_rl-grpo-150steps,legal,m,34,0.0,0.06003271931642018,0.13654878618113914,0.09398976982097186,0.1241981792717087,0.12740079365079365,
rougeEM,curriculum_rl-grpo-150steps,legal,ood,20,0.05,0.0,0.07083333333333333,0.0,0.075,0.06666666666666667,
rougeEM,curriculum_rl-grpo-150steps,legal,overall,180,0.22777777777777777,0.30294476015424254,0.30900161272692567,0.19803078699817833,0.30356470072938835,0.30283173849059514,
rougeEM,curriculum_rl-grpo-curriculum-200steps,amazon,e,80,0.8125,0.30201657069593096,0.875,0.225,0.875,0.875,
rougeEM,curriculum_rl-grpo-curriculum-200steps,amazon,h,40,0.05,3.5923090773223884e-07,0.06622023809523808,0.008990354371985742,0.0654851012261192,0.06678369451573044,
rougeEM,curriculum_rl-grpo-curriculum-200steps,amazon,m,39,0.1794871794871795,0.1081058175792921,0.33329243761936067,0.2683803376111069,0.3330732835540528,0.3319972762280454,
rougeEM,curriculum_rl-grpo-curriculum-200steps,amazon,ood,40,0.0,0.0,0.03118949922829233,0.0016666666666666666,0.025271377862972687,0.025378435001279828,
rougeEM,curriculum_rl-grpo-curriculum-200steps,amazon,overall,200,0.375,0.011036530881178449,0.4380363127892939,0.14400430052403734,0.4386150587117898,0.43857030759293686,
rougeEM,curriculum_rl-grpo-curriculum-200steps,biomedical,e,100,0.4,0.51861445454951,0.46423792605244224,0.2637930930818862,0.4687893065715646,0.4645309663454824,
rougeEM,curriculum_rl-grpo-curriculum-200steps,biomedical,h,20,0.0,0.0,0.0,0.0,0.0,0.0,
rougeEM,curriculum_rl-grpo-curriculum-200steps,biomedical,m,150,0.04666666666666667,0.0,0.04666666666666667,0.006666666666666667,0.04666666666666667,0.04666666666666667,
rougeEM,curriculum_rl-grpo-curriculum-200steps,biomedical,ood,0,,,,,,,
rougeEM,curriculum_rl-grpo-curriculum-200steps,biomedical,overall,270,0.17407407407407408,0.36414368756748894,0.19972176204255057,0.10230427565197679,0.19874840412474817,0.19963077046410377,
rougeEM,curriculum_rl-grpo-curriculum-200steps,goodreads,e,129,0.5116279069767442,0.09893366957696796,0.5959360380260669,0.1570072893403726,0.5950209961600563,0.5942826004525102,
rougeEM,curriculum_rl-grpo-curriculum-200steps,goodreads,h,70,0.02857142857142857,0.0,0.043715374494614406,0.0,0.04449311745558719,0.04311058674981193,
rougeEM,curriculum_rl-grpo-curriculum-200steps,goodreads,m,30,0.36666666666666664,0.24965577441031547,0.43333333333333335,0.058333333333333334,0.43777777777777777,0.43777777777777777,
rougeEM,curriculum_rl-grpo-curriculum-200steps,goodreads,ood,6,0.0,0.09138232906466218,0.0499108734402852,0.0,0.0499108734402852,0.0499108734402852,
rougeEM,curriculum_rl-grpo-curriculum-200steps,goodreads,overall,240,0.3333333333333333,0.04347661823999616,0.39471514953803954,0.09158763615416841,0.39423480585304443,0.3917539155276458,
rougeEM,curriculum_rl-grpo-curriculum-200steps,legal,e,94,0.3404255319148936,0.5107337933070331,0.4236388460140933,0.2898298685532728,0.42014507757977415,0.41937707211840203,
rougeEM,curriculum_rl-grpo-curriculum-200steps,legal,h,30,0.0,0.0,0.0,0.0,0.0,0.0,
rougeEM,curriculum_rl-grpo-curriculum-200steps,legal,m,34,0.0,0.0,0.016339869281045753,0.008403361344537816,0.013071895424836602,0.016339869281045753,
rougeEM,curriculum_rl-grpo-curriculum-200steps,legal,ood,20,0.1,0.0,0.1500595238095238,0.0,0.15232142857142855,0.14523809523809522,
rougeEM,curriculum_rl-grpo-curriculum-200steps,legal,overall,180,0.18888888888888888,0.3822555632008767,0.2388032184743127,0.15433457266790598,0.23985917323124786,0.23899200861803646,
rougeEM,Qwen25-3B-Instruct-new,amazon,e,80,0.7625,0.4274776319205157,0.8017857142857142,0.21041666666666664,0.8035714285714285,0.8035714285714285,
rougeEM,Qwen25-3B-Instruct-new,amazon,h,40,0.05,0.0018738326774450167,0.10106378089538874,0.02903039379148229,0.09652353057586482,0.09826952166678962,
rougeEM,Qwen25-3B-Instruct-new,amazon,m,39,0.1794871794871795,0.3723203449057196,0.3504746958694327,0.3017744782450664,0.35305082344556027,0.3606791600212653,
rougeEM,Qwen25-3B-Instruct-new,amazon,ood,40,0.0,0.012172390509866642,0.06221081919357781,0.022364672364672364,0.056322922368181,0.058056068691844556,
rougeEM,Qwen25-3B-Instruct-new,amazon,overall,200,0.355,0.036121604765301296,0.4278564072112518,0.15403052374415394,0.4281842757211597,0.4272179520248444,
rougeEM,Qwen25-3B-Instruct-new,biomedical,e,100,0.53,0.5021902578165424,0.6141386720005141,0.38149573465749936,0.6123704460743934,0.6131641801181276,
rougeEM,Qwen25-3B-Instruct-new,biomedical,h,20,0.0,0.0,0.0,0.0,0.0,0.0,
rougeEM,Qwen25-3B-Instruct-new,biomedical,m,150,0.04666666666666667,0.0,0.060277777777777784,0.013333333333333334,0.06027777777777777,0.06027777777777777,
rougeEM,Qwen25-3B-Instruct-new,biomedical,ood,0,,,,,,,
rougeEM,Qwen25-3B-Instruct-new,biomedical,overall,270,0.2222222222222222,0.2382894883069188,0.258791782183595,0.14835339859849664,0.25945723001278553,0.2583374284909372,
rougeEM,Qwen25-3B-Instruct-new,goodreads,e,129,0.5503875968992248,0.19907901407275455,0.6119941882491653,0.1762745554808465,0.613661294619205,0.6137152719384782,
rougeEM,Qwen25-3B-Instruct-new,goodreads,h,70,0.04285714285714286,0.0,0.0640656302917873,0.0008791208791208791,0.061411901994528326,0.059500064749465925,
rougeEM,Qwen25-3B-Instruct-new,goodreads,m,30,0.5333333333333333,0.06543496699631846,0.6007407407407407,0.125,0.6,0.6025925925925926,
rougeEM,Qwen25-3B-Instruct-new,goodreads,ood,6,0.0,0.0,0.0,0.0,0.0,0.0,
rougeEM,Qwen25-3B-Instruct-new,goodreads,overall,240,0.37916666666666665,0.09246306109777853,0.43091210834016264,0.11025962047670639,0.4283664513183629,0.426276584601917,
rougeEM,Qwen25-3B-Instruct-new,legal,e,94,0.48936170212765956,0.6320393495551532,0.59505535250467,0.4142331030018508,0.5917394086967049,0.5920148232660778,
rougeEM,Qwen25-3B-Instruct-new,legal,h,30,0.0,0.0,0.023148148148148147,0.0,0.01800925925925926,0.018148148148148146,
rougeEM,Qwen25-3B-Instruct-new,legal,m,34,0.0,0.0,0.019607843137254905,0.0,0.0196078431372549,0.019607843137254905,
rougeEM,Qwen25-3B-Instruct-new,legal,ood,20,0.1,0.0,0.13892857142857143,0.0,0.1392857142857143,0.1375,
rougeEM,Qwen25-3B-Instruct-new,legal,overall,180,0.2722222222222222,0.38617934740467785,0.33918038373227055,0.22426520102990688,0.3363722065117505,0.33760011826049563,
rougeEM,Qwen3-14B,amazon,e,80,0.725,0.5412132215388616,0.75,0.1875,0.75,0.75,0.75
rougeEM,Qwen3-14B,amazon,h,40,0.075,1.2770340045585938e-06,0.0860906862745098,0.031018518518518518,0.08776960784313725,0.08541666666666667,0.125
