model,difficulty,count,em,rougeL,gpt4_score
curriculum_rl-grpo-150steps,e,403,0.5831,0.6471,
curriculum_rl-grpo-150steps,h,160,0.0286,0.0573,
curriculum_rl-grpo-150steps,m,253,0.1986,0.2882,
curriculum_rl-grpo-150steps,ood,66,0.0167,0.0431,
curriculum_rl-grpo-curriculum-200steps,e,403,0.5161,0.5897,
curriculum_rl-grpo-curriculum-200steps,h,160,0.0196,0.0275,
curriculum_rl-grpo-curriculum-200steps,m,253,0.1482,0.2076,
curriculum_rl-grpo-curriculum-200steps,ood,66,0.0333,0.0758,
Qwen25-3B-Instruct-new,e,403,0.5831,0.6553,
Qwen25-3B-Instruct-new,h,160,0.0232,0.044,
Qwen25-3B-Instruct-new,m,253,0.1899,0.2582,
Qwen25-3B-Instruct-new,ood,66,0.0333,0.0652,
Qwen3-14B,e,403,0.6041,0.6519,0.6538
Qwen3-14B,h,160,0.0711,0.0857,0.0955
Qwen3-14B,m,253,0.3271,0.3854,0.4526
Qwen3-14B,ood,66,0.0167,0.0535,0.1333
Qwen3-8B,e,403,0.7463,0.7761,
Qwen3-8B,h,160,0.0711,0.0961,
Qwen3-8B,m,253,0.3499,0.3776,
Qwen3-8B,ood,66,0.05,0.0882,
gpt-4o-mini,e,314,0.0,0.8469,0.8204
gpt-4o-mini,h,153,0.0,0.0836,0.0628
gpt-4o-mini,m,253,0.0,0.421,0.4622
gpt-4o-mini,ood,66,0.0,0.0494,0.1333
gpt-4o-mini-v0,e,403,0.319,0.3852,
gpt-4o-mini-v0,h,160,0.0083,0.0249,
gpt-4o-mini-v0,m,253,0.177,0.2162,
gpt-4o-mini-v0,ood,66,0.0167,0.0479,
gpt-4o-mini-v1,e,403,0.3446,0.4111,0.7039
gpt-4o-mini-v1,h,155,0.0036,0.0134,0.0312
gpt-4o-mini-v1,m,214,0.1911,0.231,0.3957
gpt-4o-mini-v1,ood,26,0.0,0.0481,0.075
gpt-5-mini,e,401,0.4323,0.5677,
gpt-5-mini,h,160,0.0744,0.1321,
gpt-5-mini,m,253,0.4698,0.5668,
gpt-5-mini,ood,66,0.0,0.1049,
old-server-old-curriculum,e,406,0.619,0.692,0.7516
old-server-old-curriculum,h,160,0.0604,0.1082,0.1068
old-server-old-curriculum,m,253,0.2322,0.3557,0.4017
old-server-old-curriculum,ood,70,0.0167,0.1017,0.1917
old-server-vanilla,e,406,0.6254,0.6854,0.7195
old-server-vanilla,h,160,0.0414,0.0646,0.0547
old-server-vanilla,m,253,0.2172,0.2833,0.3255
old-server-vanilla,ood,70,0.0,0.0593,0.1583
ppo-format-e2h_gaussian_beta_0.75_sigma_0.75-graph_aware_newCurriculum-150_400steps-H100_v2,e,310,0.6728,0.7315,
ppo-format-e2h_gaussian_beta_0.75_sigma_0.75-graph_aware_newCurriculum-150_400steps-H100_v2,h,130,0.0548,0.0878,
ppo-format-e2h_gaussian_beta_0.75_sigma_0.75-graph_aware_newCurriculum-150_400steps-H100_v2,m,220,0.2928,0.3726,
ppo-format-e2h_gaussian_beta_0.75_sigma_0.75-graph_aware_newCurriculum-150_400steps-H100_v2,ood,50,0.0,0.0393,
ppo-format-e2h_gaussian_beta_0.75_sigma_0.75-graph_aware_newCurriculum-400steps-H100_v2,e,406,0.4133,0.4923,
ppo-format-e2h_gaussian_beta_0.75_sigma_0.75-graph_aware_newCurriculum-400steps-H100_v2,h,160,0.0881,0.1155,
ppo-format-e2h_gaussian_beta_0.75_sigma_0.75-graph_aware_newCurriculum-400steps-H100_v2,m,253,0.2577,0.3661,
ppo-format-e2h_gaussian_beta_0.75_sigma_0.75-graph_aware_newCurriculum-400steps-H100_v2,ood,70,0.0,0.0638,
ppo-format-e2h_gaussian_beta_0.75_sigma_0.75-oldCurriculum-originalEnv-200steps,e,406,0.6034,0.6682,
ppo-format-e2h_gaussian_beta_0.75_sigma_0.75-oldCurriculum-originalEnv-200steps,h,160,0.0482,0.1073,
ppo-format-e2h_gaussian_beta_0.75_sigma_0.75-oldCurriculum-originalEnv-200steps,m,253,0.1851,0.2896,
ppo-format-e2h_gaussian_beta_0.75_sigma_0.75-oldCurriculum-originalEnv-200steps,ood,70,0.0167,0.1135,
ppo-format-e2h_gaussian_mix_newCurriculum_200steps,e,406,0.421,0.4849,
ppo-format-e2h_gaussian_mix_newCurriculum_200steps,h,160,0.0399,0.0702,
ppo-format-e2h_gaussian_mix_newCurriculum_200steps,m,253,0.1439,0.2085,
ppo-format-e2h_gaussian_mix_newCurriculum_200steps,ood,70,0.0,0.0366,
ppo-format-e2h_gaussian_mix_newCurriculum_200steps-v3-t2,e,403,0.6171,0.689,0.6965
ppo-format-e2h_gaussian_mix_newCurriculum_200steps-v3-t2,h,160,0.0473,0.0845,0.0536
ppo-format-e2h_gaussian_mix_newCurriculum_200steps-v3-t2,m,253,0.2418,0.328,0.3887
ppo-format-e2h_gaussian_mix_newCurriculum_200steps-v3-t2,ood,66,0.05,0.0853,0.15
ppo-format-e2h_gaussian_mix_newCurriculum_200steps_v2,e,406,0.5376,0.6332,
ppo-format-e2h_gaussian_mix_newCurriculum_200steps_v2,h,160,0.0223,0.0661,
ppo-format-e2h_gaussian_mix_newCurriculum_200steps_v2,m,253,0.1713,0.2713,
ppo-format-e2h_gaussian_mix_newCurriculum_200steps_v2,ood,70,0.0167,0.0605,
ppo-format-vanilla,e,403,0.5988,0.6551,0.6594
ppo-format-vanilla,h,160,0.0717,0.0917,0.078
ppo-format-vanilla,m,253,0.2383,0.3095,0.3362
ppo-format-vanilla,ood,66,0.05,0.0869,0.1167
qwen25_3b-instruct-baseline,e,403,0.5847,0.655,0.6663
qwen25_3b-instruct-baseline,h,160,0.0315,0.0565,0.0351
qwen25_3b-instruct-baseline,m,253,0.2022,0.2744,0.3139
qwen25_3b-instruct-baseline,ood,66,0.0,0.0315,0.075
