model,biomedical,goodreads,amazon,legal,avg_ood_em
Qwen3-8B,0.3333,0.475,0.43,0.4556,0.4235
ppo-format-e2h_gaussian_beta_0.75_sigma_0.75-graph_aware_newCurriculum-150_400steps-H100_v2,0.2704,0.4292,0.41,,0.3698
Qwen3-14B,0.3667,0.4292,0.37,0.2722,0.3595
old-server-old-curriculum,0.3,0.45,0.395,0.25,0.3488
ppo-format-e2h_gaussian_mix_newCurriculum_200steps-v3-t2,0.2741,0.3875,0.425,0.2889,0.3439
old-server-vanilla,0.2519,0.4167,0.38,0.3,0.3371
ppo-format-vanilla,0.2259,0.4333,0.41,0.2722,0.3354
ppo-format-e2h_gaussian_beta_0.75_sigma_0.75-oldCurriculum-originalEnv-200steps,0.2185,0.4167,0.385,0.2889,0.3273
gpt-5-mini,0.3593,0.3292,0.275,0.3333,0.3242
Qwen25-3B-Instruct-new,0.2222,0.3792,0.355,0.2722,0.3072
qwen25_3b-instruct-baseline,0.2481,0.3875,0.37,0.2222,0.307
curriculum_rl-grpo-150steps,0.2407,0.3833,0.37,0.2278,0.3055
ppo-format-e2h_gaussian_mix_newCurriculum_200steps_v2,0.1963,0.3875,0.39,0.1722,0.2865
curriculum_rl-grpo-curriculum-200steps,0.1741,0.3333,0.375,0.1889,0.2678
ppo-format-e2h_gaussian_beta_0.75_sigma_0.75-graph_aware_newCurriculum-400steps-H100_v2,0.1074,0.3417,0.38,0.1944,0.2559
ppo-format-e2h_gaussian_mix_newCurriculum_200steps,0.1259,0.3083,0.345,0.1167,0.224
gpt-4o-mini-v1,0.3444,0.225,0.1217,0.1167,0.202
gpt-4o-mini-v0,0.3444,0.1958,0.095,0.1389,0.1935
gpt-4o-mini,0.0,0.0,0.0,0.0,0.0
